,importance
trend_uptrend,0.06210772388556617
in_bull_fvg,0.060944502236653854
in_bear_fvg,0.05394396279971487
isGreen,0.052875922637443576
bands_narrowing,0.05251496768378854
bands_widening,0.04691446484624812
trend_strengthening,0.04515690389290248
mr_below_sma20,0.044003438188197505
mo_roc_positive_20,0.04214440951882215
trend_ranging,0.04031608043538312
mo_consecutive_up3,0.03567553139043341
mo_consecutive_down3,0.03155562121363496
mr_z_score_high,0.0312755227615147
mo_volume_surge,0.02785202289057181
mo_combo_long,0.023463894409551343
rsi_overbought,0.022233699340449897
mo_macd_cross_up,0.021742673283445087
mr_z_score_low,0.020419468567970167
mo_combo_short,0.02014886479012996
is_trending,0.020061866557808283
mo_macd_cross_down,0.018951724787485226
mr_bb_above_upper,0.018796918993844943
DI_cross_up,0.017662578685354386
DI_cross_down,0.017570316412555218
mo_breakout_high20,0.0169849479674436
adx_uptrend,0.016057689606491194
fading_up,0.014825254039998929
mr_bb_below_lower,0.014160937071557966
mo_breakdown_low20,0.013838239341310506
rsi_oversold,0.01316579091101965
adx_downtrend,0.012381318969900475
strong_up,0.011503484403037032
fading_down,0.010499140588501535
mr_below_vwap,0.009139699384070176
strong_down,0.008303258486360461
near_upper_band,0.007889952515354223
near_lower_band,0.006807583920461589
mo_golden_cross,0.003249634779675794
idx_div_rolling3,0.0027906757424857194
mo_death_cross,0.0024638223091183564
idx_corr_breakdown,0.0024131119835465622
touches_upper,0.001998231793892395
touches_lower,0.0012396682322980187
broke_below,0.0006360891559380591
broke_above,0.0005314387100320579
idx_div_any,0.0003289152953175652
idx_div_spy_up_qqq_down,0.00023486752597242738
idx_div_spy_down_qqq_up,0.00022316705674596142
low_wick_sweep,0.0
setup_bull_confirmed,0.0
setup_bear_confirmed,0.0
setup_bull_sweep_fvg,0.0
setup_bear_sweep_fvg,0.0
macd_bearish_entry,0.0
recent_high_sweep,0.0
recent_low_sweep,0.0
macd_bullish_entry,0.0
high_wick_sweep,0.0
